image,mask,bts,bts_std_point,num_boundary_samples
paste_000.png,paste_000.png,0.196854829788208,0.11292798817157745,402
paste_001.png,paste_001.png,0.20855170488357544,0.07636136561632156,501
paste_002.png,paste_002.png,0.31023362278938293,0.15885144472122192,404
paste_003.png,paste_003.png,0.19215258955955505,0.07883946597576141,324
paste_004.png,paste_004.png,0.282075971364975,0.17651142179965973,232
paste_005.png,paste_005.png,0.16518175601959229,0.07555854320526123,258
paste_006.png,paste_006.png,0.20300763845443726,0.1032513976097107,222
paste_007.png,paste_007.png,0.21013079583644867,0.14730456471443176,285
paste_008.png,paste_008.png,0.19599932432174683,0.073686882853508,266
paste_009.png,paste_009.png,0.18743115663528442,0.07864584028720856,508
paste_010.png,paste_010.png,0.2596781849861145,0.13542041182518005,300
paste_011.png,paste_011.png,0.2910599708557129,0.14978380501270294,382
paste_012.png,paste_012.png,0.33464932441711426,0.1783754974603653,344
paste_013.png,paste_013.png,0.19174356758594513,0.07173876464366913,442
paste_014.png,paste_014.png,0.1639159768819809,0.09592519700527191,200
paste_015.png,paste_015.png,0.25410330295562744,0.14507734775543213,464
paste_016.png,paste_016.png,0.2531087100505829,0.16265816986560822,252
paste_017.png,paste_017.png,0.1963125467300415,0.0707956850528717,444
paste_018.png,paste_018.png,0.18296368420124054,0.07677353173494339,284
paste_019.png,paste_019.png,0.1938106268644333,0.07633782178163528,354
paste_020.png,paste_020.png,0.28334400057792664,0.15944331884384155,418
paste_021.png,paste_021.png,0.21984922885894775,0.11375189572572708,400
paste_022.png,paste_022.png,0.1520402580499649,0.060696106404066086,222
paste_023.png,paste_023.png,0.21785840392112732,0.0844544991850853,402
paste_024.png,paste_024.png,0.18613332509994507,0.08379058539867401,348
paste_025.png,paste_025.png,0.20164702832698822,0.09519562870264053,382
paste_026.png,paste_026.png,0.35638555884361267,0.16791272163391113,457
paste_027.png,paste_027.png,0.1804002970457077,0.06838466972112656,350
paste_028.png,paste_028.png,0.35412365198135376,0.19834715127944946,382
paste_029.png,paste_029.png,0.35038432478904724,0.20654311776161194,470
